,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Licensed,Stream
8650,Tchakabum,Onda Onda (Olha a Onda),0.895,0.718,9.0,-3.912,0.264,0.405,1.8e-05,0.115,0.939,139.966,164571.0,Tchakabum - Onda Onda Cia. Daniel Saboya (Coreografia),Dan-Sa / Daniel Saboya,129272195.0,887563.0,False,547859.0
8651,Tchakabum,Explosão,0.698,0.9,4.0,-4.3,0.0913,0.508,0.000911,0.345,0.828,136.051,182693.0,Explosão Tchakabum,tchakabumoficial,4362859.0,24229.0,False,4440493.0
8652,Tchakabum,Tesouro de Pirata - Onda Onda,0.797,0.95,9.0,-0.577,0.186,0.367,7.46e-06,0.0457,0.75,95.029,191148.0,Tchakabum - Tesouro de Pirata (Onda Onda) - (VIDEOCLIPE OFICIAL),Tchakabum,7031.0,154.0,False,2029473.0
8653,Tchakabum,Aviao,0.611,0.874,11.0,-6.458,0.202,0.105,5.99e-06,0.404,0.639,101.587,216400.0,tchakabum aviao,tiigresaa,95544.0,171.0,False,1312664.0
8654,Tchakabum,Tesouro Do Pirata,0.473,0.874,1.0,-6.822,0.408,0.23,0.000522,0.96,0.465,94.971,330320.0,Tchakabum - Tesouro de Pirata (Onda Onda) - (VIDEOCLIPE OFICIAL),Tchakabum,7031.0,154.0,False,1940826.0
8655,Tchakabum,Tchakabunda,0.796,0.975,9.0,-7.82,0.171,0.504,0.19,0.0886,0.946,154.919,125653.0,"Tchakabum, Machadez, Mousik - Tchakabunda",Mousik,31731.0,255.0,True,25850.0
8656,Tchakabum,Tesouro do Pirata / Dança da Mãozinha - Ao Vivo,0.553,0.861,2.0,-7.03,0.214,0.221,0.00585,0.952,0.607,140.606,539347.0,Dança da Mãozinha (Ao Vivo),Tchakabum - Topic,2020906.0,21056.0,True,972829.0
8657,LP,Lost on You,0.433,0.724,5.0,-6.126,0.0372,0.1,0.0,0.0918,0.689,174.006,268105.0,LP – Lost On You (Official Video),Energy TV,52547966.0,309373.0,True,629760955.0
8658,LP,Line It Up (feat. LP),0.453,0.791,7.0,-5.605,0.0347,0.022,0.0,0.189,0.466,82.976,241222.0,PALAYE ROYALE - Line It Up feat. LP (Official Music Video),Sumerian Records,561077.0,16054.0,False,3150857.0
8659,LP,When We're High,0.754,0.739,4.0,-5.186,0.0383,0.0214,6.56e-06,0.114,0.573,112.996,237501.0,LP - When We're High (Official Video),Energy TV,1673364.0,14861.0,True,97068757.0
